Accession,Species,Host,Host_ID
NC_024125,Escherichia virus E112,Escherichia coli,['NC_013008.1']
NC_023743,Escherichia virus phiEB49,Escherichia coli CFT073,"['NC_004431.1', 'NC_004431.1', 'NZ_CP051263.1', 'AE014075.1', 'CP001855.1', 'AP010958.1', 'CP001368.1']"
NC_022750,Escherichia virus fiAA91ss,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
NC_022323,Escherichia virus JES2013,Escherichia coli O157:H7 E318,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1']"
NC_021337,Acinetobacter virus AB3,carbapenem-resistant Acinetobacter baumannii,"['NC_019359.1', 'NZ_KR535992.1', 'NZ_KR535993.1', 'NZ_CP061522.1', 'NZ_CP061521.1', 'NZ_CP061526.1', 'NZ_CP061525.1', 'NZ_CP061524.1', 'NZ_CP061523.1', 'NZ_CP061520.1', 'NZ_CP061519.1', 'NZ_CP061516.1', 'NZ_CP061515.1', 'NZ_CP061514.1', 'NZ_CP061518.1', 'NZ_CP061517.1', 'CP061520.1', 'CP061519.1', 'CP061524.1', 'CP061523.1']"
NC_021344,Escherichia phage Lw1,Escherichia coli BL21(DE3),"['NZ_CP053600.1', 'NC_012971.2', 'NC_012947.1', 'NZ_CP053602.1', 'CP053602.1', 'CP053600.1', 'NC_012892.2', 'NZ_CP011938.1', 'CP001509.3', 'CP011938.1', 'AM946981.2', 'CP001665.1']"
NC_020079,Escherichia virus phAPEC8,Escherichia coli,"['CP032679.1', 'CP057073.1', 'CP026941.1', 'CP053788.1', 'CP053786.1', 'CP053677.1', 'CP053678.1', 'CP053679.1', 'CP038347.1', 'CP053560.1', 'MT230403.1', 'MT230357.1', 'MT230324.1', 'MT230314.1', 'MT230257.1', 'MT230229.1', 'MT230222.1', 'MT230211.1', 'MT230198.1', 'MT230105.1', 'CP053081.1', 'CP048295.1', 'MN612051.1', 'CP043541.1', 'CP049350.1', 'MN335639.1', 'MN419438.1', 'MN419437.1', 'MN419436.1', 'MN419434.1', 'MN419433.1', 'MN419432.1', 'MN419431.1', 'MN419430.1', 'CP041420.1', 'CP026934.1', 'LR743516.1', 'LC501524.1', 'CP057698.1', 'CP057275.1', 'CP056606.1', 'AP022216.1', 'AP022160.1', 'CP058572.1', 'MK764029.1', 'MK764028.1', 'MK764027.1', 'MK764026.1', 'MK764025.1', 'MK764024.1']"
NC_020204,Klebsiella virus JD001,Klebsiella pneumoniae JDM777,['NZ_HG918041.1']
NC_019704,Enterobacteria phage mEp237,Escherichia coli,"['CP002291.1', 'CP019455.1', 'CP010170.1', 'CP010169.1', 'CP041448.1', 'CP025739.1', 'CP042645.1', 'LR134240.1', 'LT883142.1', 'LR130532.1', 'CP026399.1', 'CP029242.1', 'LS483297.1', 'CP047127.1', 'CP045741.1', 'CP013952.1', 'CP017100.1', 'CP013253.1', 'CP000948.1', 'CP012378.1', 'AP021894.1', 'CP020048.1', 'CP021535.1', 'CP032237.1', 'CP030919.1', 'LR134247.1', 'CP044314.1', 'CP031898.1', 'LR134311.1', 'CP012376.1', 'CP010145.1', 'CP009104.1', 'CP023165.1', 'CP046259.1', 'CP043744.1', 'CP028381.1', 'LR134225.1', 'MG692624.1', 'CP027449.1', 'CP019953.1', 'CP043478.1', 'CP025950.1', 'CP049979.1']"
NC_019705,Escherichia virus mEpX2,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP010170.1', 'CP010169.1', 'CP043736.1', 'CP031134.1', 'CP026199.1', 'CP010160.1', 'CP043754.1', 'CP010196.1', 'CP010186.1', 'CP023142.1', 'CP022393.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041628.1', 'CP010242.1', 'CP016628.1', 'CP025739.1', 'CP042588.1', 'CP033096.1', 'CP018948.1', 'CP040886.1', 'CP042973.1', 'CP042899.1', 'CP040263.1', 'CP018206.1', 'CP016404.1', 'CP041532.1', 'CP042645.1', 'CP010219.1', 'CU651637.1', 'CP019243.1', 'CP014092.1', 'CP049353.1', 'CP039298.1']"
NC_019706,Enterobacteria phage mEp043 c-1,Escherichia coli,"['CP010170.1', 'CP010169.1', 'CP043736.1', 'CP020509.1', 'CP024821.1', 'CP040927.1', 'CP026199.1', 'AP021892.1', 'CP013663.1', 'CP023386.1', 'CP023142.1', 'CP019558.1', 'CP002729.1', 'CP005998.1', 'CP010242.1', 'CP023201.1', 'CP025739.1', 'CP018948.1', 'CP029687.1', 'CP016404.1', 'CP041532.1', 'CP042645.1', 'CP030919.1', 'CU651637.1', 'CP019243.1', 'CP014092.1', 'CP011134.1', 'CP039298.1', 'CP017220.1', 'CP022686.1', 'CP035486.1', 'CP007799.1', 'CP021288.1', 'CP027205.1', 'CP049077.1', 'LS992192.1', 'CP018991.1', 'CP023820.1', 'CP031215.1', 'CP021193.1', 'CP029212.1', 'CP019008.1', 'CP024886.1', 'CP051711.1', 'CP057932.1', 'CP024289.1', 'CP057247.1', 'CP056625.1', 'CP056412.1', 'CP058913.1', 'CP031157.1', 'CP057455.1', 'CP051735.1', 'LM996494.1', 'AP022173.1', 'CP051733.1', 'LR130562.1', 'CP057438.1', 'CP057435.1', 'CP057432.1', 'CP057429.1', 'CP057420.1', 'CP057417.1']"
NC_019707,Enterobacteria phage M,Escherichia coli J53 (plasmid RIP69),"['NZ_MK638972.1', 'NZ_MK638972.1']"
NC_019708,Enterobacteria phage mEp235,Escherichia coli,"['CP026085.1', 'CP002967.1', 'CP002516.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP040570.1', 'CP028700.1', 'CP028698.1', 'CP028693.1', 'CP028685.1', 'CP028683.1', 'CP028654.1', 'CP028650.1', 'CP028609.1', 'CP014092.1', 'CP000802.1', 'CP039403.1', 'CP005930.1', 'CP024134.1', 'CP024155.1', 'CP045140.1', 'CP041747.1', 'CP028695.1', 'CP028690.1', 'CP028687.1', 'CP028607.1', 'CP016755.1', 'CP017669.1', 'CP017444.1', 'CP017440.1', 'CP015023.1', 'CP023357.1', 'CP029692.1', 'CP042981.1', 'AP010960.1', 'CP031912.1', 'CP021689.1', 'CP022279.1']"
NC_019709,Escherichia virus mEpX1,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP010170.1', 'CP010169.1', 'CP043736.1', 'CP026199.1', 'CP043754.1', 'CP023142.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041628.1', 'CP010242.1', 'CP043750.1', 'CP025739.1', 'CP033096.1', 'LR134220.1', 'LS483296.1', 'CP018206.1', 'CP016404.1', 'CP041532.1', 'CP042645.1', 'CP010219.1', 'CU651637.1', 'CP019243.1', 'CP014092.1', 'CP024134.1', 'CP049353.1', 'CP039298.1', 'AP019761.1', 'CP026202.1', 'CP028589.1']"
NC_019710,Enterobacteria phage HK140,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP043736.1', 'CP026199.1', 'CP023142.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041628.1', 'CP025739.1', 'CP033096.1', 'CP018206.1', 'CP016404.1', 'CP042645.1', 'LT883142.1', 'CP026399.1', 'CU651637.1', 'CP024134.1', 'CP024155.1', 'CP049353.1', 'CP044298.1', 'CP041678.1', 'CP030939.1', 'CP025318.1', 'CP034727.1', 'CP034745.1', 'CP029492.1', 'AP019675.1', 'CP041435.1', 'CP043747.1', 'CP020106.1', 'CP020092.1', 'CP041411.1', 'CP057162.1', 'CP057270.1', 'CP057267.1', 'LR536430.1', 'LR536431.1', 'CP057133.1', 'CP026723.1', 'CP027355.1', 'CP057500.1', 'CP057254.1', 'CP057725.1', 'CP059288.1', 'CP051751.1', 'CP057247.1', 'CP055934.1', 'LT599825.1', 'CP054363.1', 'CP056625.1', 'CP054564.1', 'CP058004.1', 'CP057371.1']"
NC_019711,Escherichia virus HK629,Escherichia coli,"['LS992166.1', 'CP042901.1', 'CP019558.1', 'CP029239.1', 'CP049086.1', 'CP048439.1', 'CP043213.1', 'CP043211.1', 'CP043203.1', 'CP043209.1', 'CP043191.1', 'CP043183.1', 'CP043197.1', 'CP043189.1', 'CP043187.1', 'CP043199.1', 'CP043185.1', 'CP028702.1', 'CP018801.1', 'CP040643.1', 'CP043201.1', 'CP043205.1', 'CP043193.1', 'CP043195.1', 'CP043207.1', 'CP034595.1', 'CP011495.1', 'LN832404.1', 'CP042867.1', 'CP042865.1', 'CP011938.1', 'CP010585.1', 'CP001509.1', 'CP001665.1', 'CP001396.1', 'CP014272.1', 'CP014269.1', 'LR134240.1', 'CP049943.1', 'CP049299.1', 'CP038791.1', 'CP053602.1', 'CP053600.1', 'CP050289.1', 'CP059043.1', 'CP058948.1', 'LT615379.1', 'LT615377.1', 'LT615376.1', 'LT615375.1', 'LT615373.1', 'LT615372.1', 'LT615378.1', 'LT615371.1', 'CP055631.1', 'AM946981.1']"
NC_019714,Escherichia virus HK446,Escherichia coli,"['CP010170.1', 'CP010169.1', 'CP027457.1', 'CP034738.1', 'AP021890.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041520.1', 'CP016628.1', 'CP042588.1', 'LR740776.1', 'CP018948.1', 'CP040886.1', 'CP045190.1', 'CP010219.1', 'LR134238.1', 'FN554766.1', 'LR134246.1', 'CP019250.1', 'CP019213.1', 'CP007136.1', 'CP006027.1', 'CP047658.1', 'CP023383.1', 'CP041535.1', 'CP019777.1', 'CP012631.1', 'CP006830.1', 'CP007149.1', 'HG428755.1', 'CP002167.1', 'CP001969.1', 'CP000243.1', 'CP031922.1', 'CP037943.1', 'CP037945.1', 'CP028126.1', 'CP028116.1', 'CP056794.1', 'CP057162.1', 'CP057270.1', 'CP057267.1', 'LR536430.1', 'LR536431.1', 'CP057133.1', 'CP057500.1', 'CP057254.1', 'CP024243.1', 'CP056248.1', 'CP057491.1', 'CP057485.1', 'CP057802.1', 'CP027763.1', 'CP057686.1', 'LM996460.1', 'LM995999.1', 'LK931580.1', 'LM997002.1', 'CP057612.1', 'CP057608.1', 'CP057605.1', 'CP057141.1', 'CP057250.1']"
NC_019715,Escherichia virus mEp234,Escherichia coli,"['CP002291.1', 'CP023349.1', 'CP009578.1', 'CP040927.1', 'CP031293.1', 'CP043754.1', 'CP010196.1', 'CP010186.1', 'CP022393.1', 'CP010229.1', 'CP010121.1', 'CP019558.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP007391.1', 'CP007390.1', 'CP007265.1', 'CP041628.1', 'CP041520.1', 'CP005998.1', 'CP010242.1', 'CP043750.1', 'CP041550.1', 'CP029180.1', 'CP023201.1', 'CP016628.1', 'CP025739.1', 'CP042588.1', 'CP033096.1', 'CP041031.1', 'CP032426.1', 'CP035123.1', 'CP026473.1', 'LR740776.1', 'CP018953.1', 'CP010876.1', 'CP018948.1', 'CP040886.1', 'CP042973.1', 'CP042899.1']"
NC_019716,Enterobacteria phage mEp460,Escherichia coli,"['LR134191.1', 'CP048326.1', 'CP048322.1', 'CP024138.1', 'CP029164.1', 'CP012112.1', 'CP045190.1', 'CP036202.1', 'AP017610.1', 'CP041304.1', 'CP029687.1', 'CP048107.1', 'CP010122.1', 'CP003109.1', 'CP015241.1', 'CP001846.1', 'CP043539.1', 'CP041623.1', 'CP022689.1', 'CP018250.1', 'CP018252.1', 'CP018237.1', 'CP017251.1', 'CP017249.1', 'CP034384.1', 'CP045863.1', 'CP038494.1', 'CP032805.1', 'CP040570.1', 'CP028700.1', 'CP028698.1', 'CP028693.1', 'CP028685.1', 'CP028683.1', 'CP028654.1', 'CP028652.1', 'CP028650.1', 'CP028609.1', 'CP031913.1']"
NC_019717,Enterobacteria phage HK225,Escherichia coli,"['CP010170.1', 'CP010169.1', 'CP041448.1', 'CP025739.1', 'CP042645.1', 'LR134240.1', 'LT883142.1', 'LR130532.1', 'CP026399.1', 'CP029242.1', 'LS483297.1', 'CP047127.1', 'CP045741.1', 'CP013952.1', 'CP017100.1', 'CP013253.1', 'CP000948.1', 'CP012378.1', 'AP021894.1', 'CP020048.1', 'CP021535.1', 'CP032237.1', 'CP030919.1', 'CP044314.1', 'CP031898.1', 'LR134311.1', 'CP012376.1', 'CP010145.1', 'CP009104.1', 'CP023165.1', 'CP046259.1', 'CP043744.1', 'CP028381.1', 'LR134225.1', 'CP027449.1', 'CP019953.1', 'CP043478.1', 'CP025950.1', 'CP038453.1', 'CP049979.1', 'CP011134.1', 'CP011018.1', 'CP049081.1']"
NC_019719,Escherichia virus HK633,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP031134.1', 'CP026199.1', 'CP010160.1', 'CP043754.1', 'CP010196.1', 'CP010186.1', 'CP023142.1', 'CP022393.1', 'CP010229.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP007391.1', 'CP007390.1', 'CP007265.1', 'CP041628.1', 'CP010242.1', 'CP041550.1', 'CP029180.1', 'CP023201.1', 'CP016628.1', 'CP025739.1', 'CP042588.1', 'CP033096.1', 'LR740776.1', 'CP018953.1', 'CP010876.1', 'CP018948.1', 'CP040886.1', 'CP042973.1', 'CP042899.1', 'CP032145.1', 'CP040390.1', 'CP040263.1', 'LR134220.1', 'LS483296.1', 'CP018206.1', 'CP018976.1', 'CP010116.1', 'CP016404.1', 'CP041532.1', 'LR134152.1', 'CP042645.1']"
NC_019720,Enterobacterial phage mEp213,Escherichia coli,"['CP001855.1', 'CP010170.1', 'CP010169.1', 'CP040927.1', 'CP031293.1', 'CP010160.1', 'CP022393.1', 'CP010121.1', 'CP019558.1', 'CP002729.1', 'CP041520.1', 'CP005998.1', 'CP043750.1', 'CP023201.1', 'CP018948.1', 'CP037943.1', 'CP028126.1', 'CP030919.1', 'CP042982.1', 'CP045827.1', 'CP037941.1', 'AP018808.1', 'CP028112.1', 'CP012693.1', 'CP027472.1', 'CP017220.1', 'CP022686.1', 'CP035486.1', 'CP007799.1', 'CP009050.1']"
NC_019721,Enterobacterial phage mEp390,Escherichia coli,"['CP002291.1', 'CP010170.1', 'CP010169.1', 'AP021892.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP025739.1', 'LT883142.1', 'LR130532.1', 'CP026399.1', 'CP029242.1', 'AP021894.1', 'CP032237.1', 'CP030919.1', 'CP026202.1', 'CP017220.1', 'CP022686.1', 'CP035486.1', 'CP007799.1', 'CP015912.1', 'CP020514.1', 'CP035350.1', 'CP021175.1', 'CP017980.1', 'CP018121.1', 'CP018115.1', 'CP018109.1', 'CP018103.1', 'LR025099.1', 'CP048367.1', 'CP040269.1', 'CP022154.1', 'CP032515.1', 'CP034784.1', 'CP019560.1', 'CP032259.1', 'LT985302.1', 'CP023368.1', 'CP009073.1']"
NC_019723,Escherichia virus HK630,Escherichia coli,"['LS992166.1', 'CP042901.1', 'CP019558.1', 'CP029239.1', 'CP049086.1', 'CP048439.1', 'CP043213.1', 'CP043211.1', 'CP043203.1', 'CP043209.1', 'CP043191.1', 'CP043183.1', 'CP043197.1', 'CP043189.1', 'CP043187.1', 'CP043199.1', 'CP043185.1', 'CP028702.1', 'CP018801.1', 'CP040643.1', 'CP043201.1', 'CP043205.1', 'CP043193.1', 'CP043195.1', 'CP043207.1', 'CP034595.1', 'CP011495.1', 'LN832404.1', 'CP042867.1', 'CP042865.1', 'CP011938.1', 'CP010585.1', 'CP001509.1', 'CP001665.1', 'CP001396.1', 'CP014272.1', 'CP014269.1', 'LR134240.1', 'CP049943.1', 'CP049299.1', 'CP038791.1', 'CP053602.1', 'CP053600.1', 'CP050289.1', 'CP059043.1', 'CP058948.1', 'LT615379.1', 'LT615377.1', 'LT615376.1', 'LT615375.1', 'LT615373.1', 'LT615372.1', 'LT615378.1', 'LT615371.1', 'CP055631.1', 'AM946981.1']"
NC_019767,Escherichia virus HK544,Escherichia coli,"['CP040927.1', 'CP031293.1', 'CP034738.1', 'CP022393.1', 'CP010121.1', 'CP019558.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP041520.1', 'CP005998.1', 'CP043750.1', 'CP018948.1', 'CP045190.1', 'CP010219.1', 'CP007136.1', 'CP006027.1', 'CP023383.1', 'CP031922.1', 'CP037943.1', 'CP028126.1', 'AP021894.1', 'CP042982.1', 'CP045827.1', 'CP037941.1', 'AP018808.1', 'CP028112.1', 'CP012693.1', 'CP027472.1', 'CP014495.1']"
NC_019768,Escherichia virus HK106,Escherichia coli,"['CP002291.1', 'CP023349.1', 'CP009578.1', 'CP031293.1', 'CP031134.1', 'CP043754.1', 'CP010196.1', 'CP010186.1', 'CP022393.1', 'CP010229.1', 'CP010121.1', 'CP019558.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP007391.1', 'CP007390.1', 'CP007265.1', 'CP041628.1', 'CP041520.1', 'CP005998.1', 'CP010242.1', 'CP043750.1', 'CP041550.1', 'CP029180.1', 'CP023201.1', 'CP016628.1', 'CP025739.1', 'CP042588.1', 'CP033096.1', 'LR740776.1', 'CP018953.1', 'CP010876.1', 'CP018948.1', 'CP040886.1', 'CP042973.1', 'CP042899.1', 'CP032145.1', 'CP040390.1', 'LR134220.1', 'LS483296.1', 'CP018976.1', 'CP010116.1', 'CP042878.1', 'CU928145.1', 'CP056794.1', 'CP057162.1', 'CP057270.1', 'CP057267.1', 'CP057085.1', 'CP056920.1', 'AP022287.1', 'CP037903.1', 'CP057349.1', 'CP057336.1', 'CP056564.1', 'CP024240.1', 'CP024299.1', 'CP057690.1', 'CP056348.1', 'CP055624.1']"
NC_019769,Escherichia virus HK542,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP010170.1', 'CP010169.1', 'CP043736.1', 'CP026199.1', 'CP043754.1', 'CP010196.1', 'CP010186.1', 'CP023142.1', 'CP043752.1', 'CP041448.1', 'CP034843.1', 'CP002729.1', 'CP007391.1', 'CP007390.1', 'CP007265.1', 'CP041628.1', 'CP010242.1', 'CP041550.1', 'CP029180.1', 'CP023201.1', 'CP016628.1', 'CP025739.1', 'CP042588.1', 'CP033096.1', 'CP018953.1', 'CP010876.1', 'CP018948.1', 'CP018206.1', 'CP018976.1', 'CP016404.1', 'CP041532.1', 'CP042645.1', 'CP010219.1', 'CU651637.1', 'CP019243.1', 'CP014092.1', 'CP049353.1', 'CP051706.1', 'CP056794.1', 'CP057162.1', 'CP057270.1', 'CP057267.1', 'CP056920.1', 'CP057349.1', 'CP057336.1', 'CP056564.1', 'LR536430.1', 'LR536431.1', 'CP057133.1', 'CP026723.1', 'CP027355.1', 'CP057500.1', 'CP057254.1', 'CP057725.1', 'CP059288.1', 'CP056625.1', 'CP054564.1', 'CP055158.1']"
NC_019500,Escherichia virus Bp7,Escherichia coli O78.A,"['CP032679.1', 'CP028850.1', 'CP031707.1', 'CP031706.1']"
NC_019501,Enterobacteria phage IME10,Escherichia coli,"['CP002291.1', 'LR134234.1', 'CP001855.1', 'LS992166.1', 'CP026085.1', 'CP002967.1', 'CP002516.1', 'CP002185.1', 'CP019029.1', 'CP019455.1', 'CP010170.1', 'CP010169.1', 'CP023349.1', 'CP043736.1', 'CP022164.1', 'CP020509.1', 'CP024821.1', 'CP009578.1', 'CP027457.1', 'CP040927.1', 'CP031293.1', 'CP031134.1', 'CP026199.1', 'CP034738.1', 'AP021892.1', 'CP010160.1', 'CP013663.1', 'CP023258.1', 'CP043754.1', 'CP023386.1', 'CP010196.1', 'CP010186.1', 'CP023142.1', 'CP022393.1', 'CP010229.1', 'CP010121.1', 'CP041520.1', 'CP010242.1', 'CP028589.1', 'CP046003.1']"
NC_019503,Escherichia virus Ime09,Escherichia coli,"['CP050498.1', 'CP054232.1', 'CP054227.1', 'CP054224.1', 'CP054219.1', 'CP055256.1', 'CP055251.1', 'CP054828.1', 'AP023237.1', 'AP023224.1', 'CP054343.1', 'CP054563.1', 'CP054454.1', 'CP054449.1', 'CP054328.1', 'CP054317.1', 'CP054314.1', 'CP054372.1', 'CP054368.1', 'CP047609.1', 'CP044403.1', 'CP042878.1', 'AP023205.1', 'CP053785.1', 'CP053730.1', 'CP053720.1', 'CP053597.1', 'CP053595.1', 'CP053594.1', 'CP053602.1', 'CP053592.1', 'CP053600.1', 'CP053599.1', 'CP053601.1', 'CP053259.1', 'CP053231.1', 'CP053234.1', 'CP052877.1', 'CP051700.1', 'CP051706.1', 'CP051711.1', 'CP051714.1', 'CP058355.1', 'LR778153.1', 'LR778152.1', 'LR778151.1', 'LR778150.1', 'LR778146.1', 'LR778145.1', 'LR778142.1']"
NC_019505,Escherichia phage wV7,Escherichia coli,['NC_013008.1']
NC_019452,Escherichia virus PhaxI,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
NC_019399,Escherichia virus C40,Escherichia coli,"['CP054328.1', 'LS992166.1', 'CP024134.1', 'CP035339.1', 'CP035354.1', 'CP056985.1', 'CP027597.1', 'CP015229.1', 'CP042903.1', 'CP018840.1', 'CP058031.1', 'CP055981.1', 'CP055976.1', 'CP055973.1', 'CP055967.1', 'CP055964.1', 'CP055958.1', 'CP055951.1', 'CP055918.1', 'CP058019.1', 'CP057996.1', 'CP057978.1', 'CP057967.1', 'CP057964.1', 'CP057962.1', 'CP057961.1', 'CP057953.1', 'CP057932.1', 'CP057930.1', 'CP057885.1', 'CP057882.1', 'CP057860.1', 'CP057854.1', 'CP057849.1', 'CP057812.1', 'CP057843.1', 'CP057833.1', 'CP057796.1', 'CP057784.1', 'CP057778.1', 'CP057767.1', 'CP057729.1', 'CP057693.1', 'CP057684.1', 'CP057677.1', 'CP050031.1', 'CP050036.1', 'CP050040.1', 'CP050044.1', 'CP058682.1']"
NC_019419,Escherichia virus JL1,Escherichia coli O157:H7,"['NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP022729.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP017439.1', 'NZ_CP017445.1', 'NZ_CP017441.1', 'NZ_CP017435.1', 'NZ_CP017443.1', 'NZ_CP017447.1', 'NZ_CP017437.1', 'NZ_CP016626.1', 'NZ_CP010305.1', 'NC_013008.1', 'NC_013010.1', 'NZ_AP018692.1', 'NZ_CP045865.1', 'NZ_CP045864.1', 'NZ_CP045863.1', 'NZ_CP022729.1', 'NZ_CP015842.1', 'NZ_CP008807.1', 'NZ_CP008806.1', 'NZ_CP008805.1', 'NC_011353.1', 'NC_011351.1', 'NC_011350.1', 'NC_007414.1', 'NC_002655.2', 'NZ_CP033605.1', 'NZ_CP017439.1', 'NZ_CP017438.1', 'NZ_CP017445.1', 'NC_013942.1', 'NC_013941.1', 'NZ_EU675685.1', 'AP022816.1', 'AP022815.1', 'AP022811.1', 'NC_017907.1', 'NC_017906.1']"
NC_018835,Escherichia virus NJ01,Escherichia coli DE172,['NZ_CP010120.1']
NC_018846,Escherichia phage P13374,"Escherichia coli CB13374, serotype O104:H4","['NC_018651.1', 'CP028126.1', 'CP027390.1', 'CP013663.1', 'CP027368.1', 'CP027307.1', 'CP031902.1', 'CP024992.1', 'CP023535.1', 'CP003289.1', 'HF572917.1', 'CP027394.1', 'CP015228.1', 'CP011331.1', 'CP045827.1', 'LM997071.1', 'CP009050.1', 'LM995744.1', 'LM995501.1', 'CP022086.1', 'LM995668.1', 'LM995551.1', 'LM995495.1', 'LM996356.1', 'CP027362.1', 'CP044350.1', 'LM996720.1', 'LM997391.1', 'CP038366.1', 'LM996661.1', 'LM996970.1', 'LM995695.1', 'CP055943.1', 'CP041002.1', 'CP023531.1', 'CP003301.1', 'CP003297.1', 'LM996719.1', 'CP027323.1', 'CP027312.1', 'CP027376.1', 'LM996704.1', 'CP021339.1']"
NC_017969,Escherichia virus AKFV33,Escherichia coli,['CP032679.1']
