Accession,Species,Host,Host_ID
NC_049926,Escherichia phage ECP1,Escherichia coli MG1655,"['NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'CP032679.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1', 'NZ_CP014225.1', 'NZ_CP012868.1', 'NZ_CP025268.1']"
NC_049815,Escherichia phage tonn,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049816,Escherichia phage tunus,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049817,Escherichia phage tonnikala,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049818,Escherichia phage tonijn,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049819,Escherichia phage atuna,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049823,Escherichia phage herni,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049824,Escherichia phage vojen,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049825,Escherichia phage grams,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
NC_049826,Escherichia phage aaroes,Escherichia coli K-12 MG1655,"['CP032679.1', 'NC_007779.1', 'NZ_CP027060.1', 'U00096.3', 'NZ_LR881938.1', 'NZ_CP014348.1', 'NZ_CP009685.1', 'NZ_MK753227.1', 'NZ_MK753226.1', 'NZ_MK753225.1', 'NZ_MK753228.1', 'NZ_MF521836.1', 'NZ_CP032667.1']"
